substrate,subfam,abundance
compostable,chironomini,181
grocery_bag,chironomini,224
leaf_litter,chironomini,310
mixed,chironomini,509
trash_bag,chironomini,414
ziploc,chironomini,276
compostable,tanytarsini,8
grocery_bag,tanytarsini,14
leaf_litter,tanytarsini,17
mixed,tanytarsini,9
trash_bag,tanytarsini,23
ziploc,tanytarsini,13
compostable,orthocladiinae,91
grocery_bag,orthocladiinae,81
leaf_litter,orthocladiinae,175
mixed,orthocladiinae,242
trash_bag,orthocladiinae,319
ziploc,orthocladiinae,174
compostable,tanypodinae,61
grocery_bag,tanypodinae,33
leaf_litter,tanypodinae,53
mixed,tanypodinae,41
trash_bag,tanypodinae,120
ziploc,tanypodinae,54
