substrate,subfam,abundance,,
compostable,chironomini,181,,445
grocery_bag,chironomini,224,,459
leaf_litter,chironomini,310,,791
mixed,chironomini,509,,948
trash_bag,chironomini,414,,949
ziploc,chironomini,276,,619
compostable,tanytarsini,8,,
grocery_bag,tanytarsini,14,,
leaf_litter,tanytarsini,17,,
mixed,tanytarsini,9,,
trash_bag,tanytarsini,23,,
ziploc,tanytarsini,13,,
compostable,orthocladiinae,91,,
grocery_bag,orthocladiinae,81,,
leaf_litter,orthocladiinae,175,,
mixed,orthocladiinae,242,,
trash_bag,orthocladiinae,319,,
ziploc,orthocladiinae,174,,
compostable,tanypodinae,61,,
grocery_bag,tanypodinae,33,,
leaf_litter,tanypodinae,53,,
mixed,tanypodinae,41,,
trash_bag,tanypodinae,120,,
ziploc,tanypodinae,54,,
compostable,other,104,,
grocery_bag,other,107,,
leaf_litter,other,236,,
mixed,other,147,,
trash_bag,other,73,,
ziploc,other,102,,
